DEPTH_LSF,UCAV,RHON,GR_RAB,GRMA,BPHI,TNPH,A40B,RES_BD,P16B,VCO,VSH
116.416,8.942726,1.783441,78.89625,62.22061,57.5805,60.4515,1.32329,1.296218,1.295629,,
116.5684,9.072321,1.795603,77.90582,63.18153,55.6859,57.5517,1.33449,1.560325,1.30272,,
116.7208,9.008402,1.786092,79.43621,64.1479,57.4368,60.3137,1.357519,1.364006,1.303778,,
116.8732,9.023747,1.78848,78.86816,62.71317,52.2213,51.3382,1.354817,1.582516,1.316167,,
117.0256,8.967998,1.787253,76.36018,61.16282,56.358,58.3749,1.358302,1.496796,1.29391,,
117.178,8.954504,1.786696,77.05655,58.38837,54.9831,55.8993,1.349692,1.475687,1.268244,,
117.3304,8.975417,1.787262,78.74329,58.78985,57.9358,61.3181,1.353917,1.390916,1.269985,,
117.4828,8.983438,1.790499,77.5029,59.5728,56.1748,58.196,1.363497,1.553293,1.286863,,
117.6352,8.989168,1.801919,76.22524,60.46491,57.1764,60.6124,1.377192,1.461391,1.316836,,
117.7876,9.00514,1.799599,76.57833,59.1124,54.1324,54.9937,1.399824,1.539042,1.364818,,
117.94,9.045,1.80467,76.29002,59.04107,52.1553,51.8785,1.422503,1.507503,1.433782,,
118.0924,9.040501,1.815503,76.19277,59.80389,56.8137,60.6036,1.451726,1.525219,1.440494,,
118.2448,9.025001,1.822113,76.3463,61.6221,51.9507,52.2478,1.459968,1.7924,1.441123,,
118.3972,9.095709,1.821877,75.25775,61.69213,56.1251,59.6144,1.472086,1.556875,1.494171,,
118.5496,9.053755,1.827534,73.51747,62.22444,53.5845,55.2646,1.491138,1.720721,1.49082,,
118.702,9.04643,1.827905,73.78699,61.0276,50.1823,49.6001,1.498338,1.780695,1.490827,,
118.8544,9.366768,1.837272,77.11426,62.08023,52.0935,53.1121,1.511517,1.590421,1.486278,,
119.0068,9.148836,1.841888,77.54638,61.66133,52.018,53.1761,1.521559,2.321779,1.498526,,
119.1592,9.58044,1.831469,76.58161,62.57561,52.5226,53.5981,1.522413,1.500663,1.509471,,
119.3116,9.226247,1.842711,79.34721,61.07109,49.4969,49.0697,1.530533,1.580864,1.498179,,
119.464,9.199835,1.845396,81.66299,58.50592,53.0443,55.101,1.54646,1.727265,1.502824,,
119.6164,9.608964,1.835738,77.47163,56.39141,52.1249,53.1014,1.550233,1.614904,1.527161,,
119.7688,9.344376,1.822656,72.13963,55.24669,50.402,49.7508,1.559733,1.858985,1.550924,,
119.9212,9.343906,1.819873,73.34499,55.66562,56.721,60.6457,1.56458,1.803515,1.546788,,
120.0736,9.390312,1.820988,75.97343,56.79,54.5196,56.6279,1.567549,1.791848,1.551269,,
120.226,9.574677,1.813209,77.35216,57.84822,53.172,53.9328,1.567458,1.843762,1.553951,,
120.3784,9.33652,1.805226,78.0969,60.53363,53.6306,54.3745,1.562567,1.656163,1.554118,,
120.5308,9.386601,1.806804,76.90243,59.49445,52.4843,52.5083,1.558526,1.639627,1.563224,,
120.6832,9.300727,1.812158,74.52904,57.84715,56.0039,58.9163,1.538568,1.686726,1.557339,,
120.8356,9.373423,1.822598,75.66241,56.498,53.3243,54.597,1.527237,1.932542,1.526484,,
120.988,9.306859,1.826121,79.99795,57.7937,51.5608,51.7642,1.499531,1.809911,1.478018,,
121.1404,9.22124,1.840316,81.19482,60.38176,53.0227,54.8408,1.476948,1.866194,1.440183,,
121.2928,9.155828,1.850631,78.74136,61.94511,54.2628,57.5267,1.455871,1.778786,1.415709,,
121.4452,9.112772,1.871859,76.27478,63.62555,49.9684,50.9511,1.441756,1.757784,1.391888,,
121.5976,9.052498,1.885731,76.92326,65.14444,51.9885,54.9965,1.425276,1.656092,1.37594,,
121.75,9.022186,1.886805,78.58406,65.43823,48.1158,48.5092,1.417699,1.765213,1.365916,,
121.9024,8.967709,1.878218,78.96188,65.38519,49.9074,51.1002,1.402832,1.724183,1.356638,,
122.0548,8.97675,1.880528,78.00046,65.56416,49.0813,49.8305,1.394074,1.591059,1.346437,,
122.2072,9.011248,1.85359,77.08684,65.01482,53.4034,56.1022,1.381388,1.551293,1.34283,,
122.3596,9.040998,1.842896,78.21905,65.01486,52.7749,54.5201,1.374676,1.631178,1.336363,,
122.512,9.032814,1.818968,80.83559,63.7077,52.8166,53.5721,1.371925,1.525788,1.325777,,
122.6644,9.074457,1.806001,82.97413,65.53292,55.5402,57.7739,1.367612,1.448621,1.322739,,
122.8168,9.268112,1.791658,82.92596,64.90334,56.8661,59.5211,1.360307,1.427269,1.326196,,
122.9692,9.207496,1.794209,82.12316,64.43307,56.9402,59.7844,1.362223,1.377806,1.311231,,
123.1216,9.181456,1.79645,81.84432,62.49926,56.4874,59.0525,1.354683,1.513328,1.304854,,
123.274,9.167911,1.80621,81.34415,63.56393,56.2355,59.0581,1.354911,1.492635,1.308777,,
123.4264,9.120934,1.800143,78.61694,64.24835,54.0953,54.9523,1.357907,1.413361,1.318508,,
123.5788,9.074063,1.799625,76.36277,63.83578,54.6531,55.8996,1.359671,1.635048,1.320288,,
123.7312,9.085418,1.797428,78.12447,63.60027,56.6664,59.4318,1.363381,1.563887,1.322557,,
123.8836,9.12475,1.785778,80.75107,62.85403,57.0051,59.4917,1.363599,1.637497,1.321131,,
124.036,9.095626,1.785458,82.72247,62.90088,54.4241,54.8775,1.365036,1.332773,1.323251,,
124.1884,9.10125,1.78818,82.70283,62.00468,54.8977,55.8163,1.365548,1.443946,1.330448,,
124.3408,9.09018,1.785346,80.95827,61.45696,53.8293,53.8617,1.365457,1.511476,1.332323,,
124.4932,9.096249,1.787922,81.10666,61.73513,58.9647,63.3529,1.370889,1.549062,1.330909,,
124.6456,9.066256,1.790426,81.31055,60.52428,59.3917,64.3403,1.373158,1.544358,1.330765,,
124.798,9.033495,1.793939,79.87929,60.24502,55.4707,57.0882,1.378103,1.595924,1.333385,,
124.9504,9.007759,1.801112,77.68125,60.97095,59.2755,64.6928,1.384243,1.535353,1.356514,,
125.1028,9.055633,1.799419,76.91975,60.44515,53.0723,53.1827,1.382199,1.35864,1.362997,,
125.2552,9.10714,1.806054,77.53722,60.10511,52.0889,51.8254,1.383589,1.318876,1.375478,,
125.4076,9.07849,1.809443,77.32939,58.20582,54.6358,56.3105,1.381378,1.40823,1.356573,,
125.56,8.95146,1.795797,79.16855,61.51938,52.8936,52.7341,1.377727,1.544402,1.344707,,
125.7124,8.96528,1.787834,80.32851,63.63037,57.6523,60.8069,1.374964,1.436739,1.352809,,
125.8648,9.06125,1.789458,78.95013,64.40175,53.2447,53.0555,1.376392,1.470871,1.359479,,
126.0172,8.998441,1.795225,81.11016,61.91505,57.4337,60.7644,1.38237,1.347435,1.332211,,
126.1696,9.004999,1.812323,83.96217,61.24876,54.3849,55.9964,1.366434,1.585655,1.348093,,
126.322,9.000625,1.809464,83.04701,60.69735,51.1166,50.3839,1.36528,1.476457,1.342721,,
126.4744,8.971629,1.815835,81.2351,60.61256,51.5042,51.2599,1.354841,1.517625,1.318791,,
126.6268,8.98875,1.815678,78.49052,59.71216,53.0426,53.8161,1.34312,1.346015,1.289365,,
126.7792,8.985833,1.815109,75.65729,56.97901,52.1701,52.3261,1.343951,1.475161,1.293426,,
126.9316,8.98804,1.81938,76.02202,54.81409,54.5382,56.5872,1.341141,1.460805,1.29013,,
127.084,9.013575,1.815507,75.46623,54.25947,52.7893,53.3796,1.335983,1.390661,1.286805,,
127.2364,9.034579,1.808654,72.83884,55.86208,51.9217,51.6551,1.326559,1.37826,1.281077,,
127.3888,8.999791,1.814798,75.60301,59.10099,56.3098,59.6142,1.330198,1.291224,1.279533,,
127.5412,8.982708,1.811649,79.76894,60.58164,55.9731,58.834,1.338215,1.402147,1.274453,,
127.6936,8.9795,1.807494,79.22633,61.03588,54.6428,56.2346,1.33283,1.388895,1.271398,,
127.846,8.968409,1.802613,78.03036,59.54552,55.2261,57.0502,1.330294,1.376931,1.271533,,
127.9984,8.958751,1.811337,78.16175,57.89581,53.4269,54.2875,1.341132,1.484533,1.280358,,
128.1508,8.930627,1.811138,78.95,57.96935,56.1577,59.152,1.349155,1.37408,1.29438,,
128.3032,8.930626,1.81591,79.94469,58.52102,54.4517,56.2756,1.35977,1.41687,1.316725,,
128.4556,8.926355,1.816992,80.34225,61.27897,53.9981,55.524,1.364798,1.309589,1.331498,,
128.608,8.933002,1.822977,79.40839,64.76582,52.6068,53.3838,1.377971,1.338747,1.35339,,
128.7604,8.942658,1.820159,77.38766,63.54853,56.2236,59.7154,1.397006,1.522883,1.357262,,
128.9128,8.959256,1.824764,76.19488,63.04142,51.5852,51.7492,1.413099,1.536255,1.377237,,
129.0652,8.995939,1.825718,77.96967,60.47235,55.0965,57.8898,1.414509,1.53034,1.392621,,
129.2176,9.008755,1.839491,77.34217,61.67598,53.5003,55.6444,1.430627,1.509247,1.404202,,
129.37,9.055126,1.837235,73.77183,61.21053,51.2109,51.6315,1.436817,1.64893,1.404804,,
129.5224,9.075419,1.832716,75.16605,62.66154,54.8043,57.6821,1.446142,1.59114,1.405332,,
129.6748,9.15625,1.835723,79.32539,62.51266,53.1347,54.8353,1.456486,1.516381,1.420731,,
129.8272,9.216249,1.835186,79.45667,62.11238,57.9452,63.8541,1.470288,1.693923,1.420743,,
129.9796,9.119797,1.827551,76.76434,60.00511,52.9329,54.1337,1.475031,1.593128,1.419941,,
130.132,9.10547,1.813794,75.76112,59.29727,53.05,53.7483,1.484953,1.840706,1.434781,,
130.2844,9.080627,1.810058,75.58451,58.06685,53.478,54.3195,1.498465,1.778795,1.449864,,
130.4368,9.099884,1.798596,74.3331,57.07543,55.3564,57.098,1.507735,1.527151,1.464499,,
130.5892,9.073395,1.787329,72.55934,57.1372,55.4408,56.7313,1.532775,1.547788,1.50336,,
130.7416,9.081946,1.770115,72.43143,59.26797,53.9828,53.475,1.548769,1.625402,1.51667,,
130.894,8.980692,1.758663,75.88676,61.48827,53.3721,52.0013,1.557929,1.840515,1.540455,,
131.0464,8.961255,1.754292,77.84376,60.74884,57.2901,58.4927,1.561115,1.786212,1.547988,,
131.1988,8.997397,1.740536,76.28928,58.59024,58.5321,60.0869,1.574289,1.679309,1.528003,,
131.3512,9.015225,1.746264,78.04404,57.11605,53.5929,51.8561,1.580536,1.802689,1.567746,,
131.5036,8.983749,1.746392,78.20234,57.19453,53.4188,51.5821,1.596685,1.839321,1.5591,,
131.656,8.989911,1.733081,74.34673,56.94473,56.3762,55.9085,1.606484,1.72399,1.554609,,
131.8084,8.991249,1.72946,75.81065,55.67363,57.7012,58.0507,1.610133,1.646985,1.553348,,
131.9608,9.026941,1.747017,78.78109,57.92048,53.5447,51.8088,1.631332,1.715292,1.560663,,
132.1132,8.976006,1.753654,78.16859,58.03253,51.3455,48.6292,1.62242,1.623401,1.552387,,
132.2656,9.052073,1.769713,78.69746,60.03645,49.5465,46.5104,1.631354,1.680785,1.540473,,
132.418,9.080791,1.742516,80.34781,58.3109,54.3479,52.9245,1.622681,1.834134,1.529665,,
132.5704,9.032809,1.72026,79.87926,59.7921,58.7355,59.4615,1.627666,1.820374,1.540368,,
132.7228,9.013116,1.701829,78.3925,60.29896,54.2905,51.1845,1.650296,1.836696,1.542367,,
132.8752,8.955777,1.686894,77.77956,59.95453,59.1976,58.6743,1.67844,1.773132,1.634701,,
